part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
Yes,5,Yes,14,Teacher,38,9,32,24,25,6,32
No,17,No,11,Chef,6,16,62,93,42,24,93
Yes,22,No,15,Architect,77,71,69,66,75,11,97
Yes,5,No,35,Teacher,18,100,65,66,83,58,20
Yes,23,Yes,14,Nurse,21,86,51,71,11,69,72
No,23,No,28,Writer,82,11,60,53,54,46,63
No,28,No,40,Psychologist,70,47,100,63,36,86,11
No,13,No,19,Engineer,94,71,6,22,22,16,35
Yes,5,No,16,Engineer,20,88,100,8,93,33,64
Yes,10,Yes,13,Lawyer,43,66,42,58,57,66,67
No,0,Yes,10,Teacher,65,82,24,11,57,23,47
Yes,6,No,3,Nurse,27,64,5,85,10,51,49
No,18,Yes,24,Teacher,10,24,65,55,39,95,36
Yes,20,Yes,31,Scientist,93,55,16,80,94,64,32
Yes,24,Yes,29,Nurse,59,50,8,80,96,20,19
No,18,No,4,Writer,18,93,23,24,6,98,98
No,15,No,8,Software Developer,53,72,65,36,74,24,27
Yes,11,Yes,22,Engineer,58,29,72,24,4,13,66
No,19,No,26,Teacher,16,11,53,41,74,54,99
No,18,No,33,Artist,61,41,43,13,86,65,30
Yes,16,Yes,15,Nurse,95,86,29,0,61,47,56
No,29,No,22,Software Developer,66,31,11,38,98,20,66
Yes,30,Yes,28,Doctor,24,27,57,21,85,47,94
Yes,14,No,33,Lawyer,28,79,3,64,68,46,12
No,26,No,15,Entrepreneur,57,71,35,25,44,87,20
No,7,No,26,Psychologist,61,14,10,1,94,9,47
Yes,22,No,10,Architect,26,70,1,96,77,9,70
No,27,No,6,Athlete,30,47,75,29,79,60,88
No,19,Yes,28,Writer,20,28,52,56,92,48,19
No,3,Yes,24,Psychologist,56,90,97,23,8,63,82
Yes,17,Yes,31,Chef,100,82,43,42,95,1,47
No,19,Yes,19,Architect,63,55,15,52,16,10,69
Yes,15,No,18,Chef,33,58,65,96,33,28,82
Yes,27,Yes,26,Scientist,38,93,3,4,64,35,78
No,12,No,38,Software Developer,3,93,2,22,77,13,86
Yes,3,Yes,5,Architect,5,18,28,28,91,3,54
No,8,No,10,Writer,80,12,34,64,30,19,38
No,14,Yes,18,Architect,9,98,20,31,49,69,89
No,12,No,15,Marketing Manager,77,45,41,28,75,54,81
No,28,No,39,Artist,32,93,98,17,68,75,38
No,0,No,20,Chef,46,85,44,54,97,45,78
No,2,Yes,1,Chef,37,37,54,21,76,8,82
No,26,Yes,12,Athlete,61,56,28,79,57,60,25
Yes,3,Yes,6,Artist,4,92,35,93,71,94,64
Yes,6,No,26,Writer,13,77,9,68,38,0,53
No,18,Yes,6,Scientist,70,31,14,30,47,82,60
Yes,28,No,12,Artist,23,93,1,22,93,37,10
No,10,Yes,19,Chef,47,16,24,83,66,73,8
No,24,No,28,Scientist,90,34,45,30,28,89,90
No,20,Yes,17,Lawyer,67,20,34,65,33,61,65
No,15,No,7,Lawyer,78,51,60,96,3,41,23
No,20,Yes,7,Architect,64,72,18,69,59,39,81
Yes,3,No,8,Athlete,64,97,84,92,46,66,27
Yes,23,Yes,7,Writer,42,48,87,54,70,20,98
No,15,Yes,4,Scientist,0,87,61,90,71,72,69
Yes,3,Yes,27,Engineer,15,18,47,56,11,30,98
No,11,Yes,13,Entrepreneur,12,58,19,22,43,61,71
No,26,Yes,18,Writer,50,75,72,80,73,4,39
Yes,1,No,8,Marketing Manager,96,51,78,24,92,51,93
No,19,No,4,Scientist,40,33,1,2,4,77,82
Yes,3,Yes,1,Artist,53,27,42,50,41,30,71
Yes,28,Yes,21,Marketing Manager,26,73,25,31,78,61,23
No,3,Yes,38,Software Developer,50,57,73,80,18,16,34
No,22,No,32,Scientist,56,26,68,8,97,22,57
No,8,No,6,Entrepreneur,33,57,93,83,42,3,92
No,14,No,39,Artist,62,71,79,83,40,22,83
No,19,No,10,Writer,92,9,95,0,97,36,56
No,4,No,11,Lawyer,61,67,84,42,89,76,71
Yes,5,No,16,Psychologist,90,48,97,0,100,73,68
No,16,Yes,12,Lawyer,36,30,60,70,20,76,22
No,0,Yes,19,Software Developer,7,96,64,18,28,90,45
No,27,No,27,Teacher,75,75,82,60,45,15,62
No,0,Yes,8,Writer,79,98,51,43,58,42,13
Yes,23,Yes,37,Entrepreneur,35,21,92,38,10,84,38
Yes,8,Yes,16,Scientist,89,88,40,37,45,10,20
Yes,29,Yes,36,Engineer,2,81,17,30,56,67,7
Yes,16,Yes,28,Psychologist,87,76,61,81,28,60,37
No,20,No,34,Artist,30,23,70,79,95,63,66
Yes,28,No,16,Doctor,66,85,98,96,81,27,46
No,28,No,6,Doctor,13,76,53,97,24,38,95
Yes,7,Yes,15,Software Developer,32,52,57,30,99,66,53
No,1,Yes,35,Artist,39,22,7,75,5,46,78
Yes,0,No,24,Engineer,13,95,76,61,29,68,39
No,23,Yes,33,Nurse,85,79,37,37,8,47,46
Yes,29,No,14,Entrepreneur,0,11,57,65,77,98,56
No,12,Yes,32,Lawyer,52,47,33,26,56,5,47
No,5,Yes,31,Scientist,75,29,85,59,60,59,59
Yes,7,Yes,21,Engineer,48,42,42,35,19,13,16
Yes,4,Yes,10,Architect,39,8,27,83,64,3,80
Yes,14,Yes,17,Software Developer,38,54,6,97,81,16,44
No,25,No,31,Scientist,47,73,86,68,36,24,7
Yes,23,No,12,Artist,62,59,75,21,75,40,35
Yes,21,No,25,Lawyer,67,74,100,12,43,68,3
Yes,12,Yes,29,Psychologist,53,65,14,69,39,1,83
No,24,No,13,Athlete,95,84,99,61,63,79,59
No,21,No,14,Entrepreneur,98,58,75,37,11,0,85
Yes,2,Yes,14,Writer,93,2,10,53,36,55,14
No,30,No,12,Artist,58,46,52,47,70,21,75
Yes,6,No,37,Psychologist,56,84,23,67,65,77,81
No,0,No,3,Writer,37,93,87,64,3,28,87
Yes,23,No,23,Entrepreneur,56,37,52,18,81,61,80
Yes,29,Yes,9,Athlete,12,17,40,66,64,32,25
No,30,Yes,21,Nurse,53,86,69,94,57,84,42
Yes,14,Yes,33,Nurse,12,63,73,26,55,73,96
Yes,27,No,0,Writer,98,56,80,57,68,40,27
No,2,Yes,21,Athlete,93,53,85,84,59,82,40
No,22,No,24,Athlete,25,82,79,100,43,46,17
No,7,No,5,Lawyer,78,23,4,11,77,88,19
No,18,No,10,Psychologist,67,36,20,80,29,27,15
Yes,20,No,4,Teacher,3,64,52,59,61,80,81
Yes,3,No,40,Chef,41,90,70,61,79,46,94
Yes,11,No,2,Lawyer,42,27,94,4,73,24,3
No,18,No,37,Architect,31,81,12,63,35,74,39
No,24,Yes,11,Chef,62,66,21,21,58,62,100
Yes,26,No,9,Teacher,93,55,17,62,15,77,62
No,3,Yes,20,Marketing Manager,85,99,71,31,40,15,24
Yes,4,Yes,29,Chef,6,13,73,40,83,25,3
No,2,Yes,11,Athlete,7,42,88,46,85,77,93
No,28,No,31,Athlete,53,35,12,87,75,11,50
Yes,15,No,27,Teacher,31,49,21,29,92,93,100
No,13,Yes,3,Psychologist,65,36,18,57,26,16,28
No,3,No,38,Architect,95,100,83,91,38,51,49
No,3,No,22,Software Developer,18,65,11,75,38,68,69
Yes,5,Yes,19,Entrepreneur,57,76,13,50,90,20,71
Yes,18,No,35,Writer,36,31,22,54,15,68,70
Yes,30,No,35,Athlete,12,16,82,79,82,66,97
No,26,No,35,Artist,24,52,37,6,37,6,65
Yes,29,No,35,Architect,6,29,40,60,99,23,32
Yes,11,No,1,Entrepreneur,3,6,48,72,65,75,36
No,13,No,27,Entrepreneur,53,98,63,32,83,26,87
Yes,3,Yes,32,Nurse,42,46,26,1,92,91,40
No,5,No,36,Athlete,54,60,25,55,80,82,19
No,28,Yes,11,Marketing Manager,3,61,55,9,59,0,99
Yes,30,Yes,18,Nurse,16,56,96,30,31,91,12
No,5,Yes,8,Marketing Manager,74,40,90,30,21,65,46
Yes,23,No,31,Engineer,95,41,71,5,79,57,23
Yes,3,Yes,9,Nurse,72,63,43,69,40,8,44
Yes,2,Yes,26,Nurse,33,56,21,64,38,47,51
No,4,Yes,24,Architect,83,0,25,50,21,30,12
No,5,No,25,Lawyer,77,50,20,84,48,51,99
No,7,No,15,Lawyer,63,86,51,60,33,94,10
Yes,1,Yes,33,Artist,35,65,99,15,39,37,95
Yes,20,Yes,35,Engineer,84,21,10,66,85,33,69
No,28,No,28,Teacher,66,64,56,79,35,6,96
Yes,4,No,34,Software Developer,9,99,64,40,51,88,25
No,1,No,35,Engineer,93,3,11,65,76,36,11
No,27,Yes,0,Chef,87,88,76,22,21,80,98
Yes,4,Yes,1,Artist,99,50,8,64,10,58,6
Yes,22,No,8,Doctor,1,97,100,24,90,14,78
No,22,No,6,Architect,93,73,94,46,34,4,41
Yes,25,No,7,Software Developer,7,48,47,15,98,2,44
No,26,No,11,Engineer,58,63,41,85,97,58,92
Yes,25,Yes,35,Psychologist,45,79,66,77,58,60,0
No,30,Yes,28,Lawyer,43,49,63,85,17,43,39
Yes,0,Yes,20,Writer,100,47,11,75,44,7,13
Yes,12,No,16,Teacher,12,6,73,92,91,52,15
Yes,26,No,20,Writer,45,91,66,49,31,91,68
Yes,10,No,25,Nurse,59,41,91,3,31,8,37
Yes,29,No,4,Chef,54,22,76,55,16,69,74
Yes,16,No,22,Scientist,69,50,33,29,67,91,0
Yes,20,Yes,11,Engineer,42,4,7,51,99,36,80
Yes,28,Yes,14,Writer,47,58,97,52,19,32,87
Yes,22,Yes,39,Doctor,65,21,61,44,97,26,17
Yes,18,No,18,Architect,36,25,56,81,81,15,90
Yes,23,No,39,Chef,37,74,20,37,43,8,71
Yes,24,No,36,Scientist,42,3,39,22,45,100,94
Yes,16,No,31,Engineer,60,69,82,81,45,82,51
No,13,No,2,Chef,45,100,92,49,59,17,34
No,3,Yes,38,Psychologist,1,67,79,14,4,90,57
Yes,19,Yes,32,Architect,9,79,23,77,23,63,49
Yes,24,No,29,Writer,51,98,70,18,90,7,19
Yes,5,No,6,Doctor,39,100,33,65,32,87,23
Yes,2,No,31,Marketing Manager,69,33,24,77,39,58,26
Yes,3,Yes,29,Marketing Manager,25,39,87,22,42,55,27
Yes,28,Yes,29,Writer,5,49,36,67,78,76,40
Yes,20,Yes,32,Scientist,95,27,45,76,66,85,27
Yes,11,No,31,Entrepreneur,79,35,81,50,10,87,34
No,3,Yes,23,Engineer,25,61,59,49,76,98,71
No,11,Yes,5,Marketing Manager,83,29,73,48,33,92,92
No,9,Yes,12,Doctor,47,19,93,96,37,83,2
No,21,Yes,29,Engineer,66,32,49,89,83,67,90
Yes,4,Yes,30,Artist,34,56,11,92,17,11,33
Yes,1,No,33,Chef,9,35,38,65,89,22,16
No,7,No,10,Engineer,21,47,92,23,97,91,27
Yes,4,Yes,30,Entrepreneur,73,97,35,54,11,13,63
No,6,No,37,Athlete,18,17,61,29,32,95,55
No,11,Yes,18,Psychologist,74,15,99,34,1,31,86
Yes,26,Yes,11,Lawyer,20,58,39,40,93,55,89
Yes,16,Yes,37,Entrepreneur,94,42,32,61,60,44,45
Yes,12,No,26,Artist,92,50,50,41,94,76,14
No,20,No,8,Writer,50,99,17,10,21,31,7
Yes,23,No,21,Chef,16,13,54,46,67,43,44
Yes,25,Yes,30,Engineer,10,49,93,32,54,7,29
Yes,14,Yes,29,Doctor,28,67,17,3,92,15,2
Yes,23,No,16,Teacher,74,91,8,0,53,60,83
No,27,Yes,5,Marketing Manager,47,62,53,48,72,41,31
Yes,24,No,22,Athlete,5,38,33,29,90,65,47
Yes,24,Yes,6,Chef,59,90,58,61,68,83,57
Yes,5,No,37,Psychologist,78,62,86,99,42,66,14
Yes,0,Yes,15,Software Developer,21,60,69,60,12,52,4
No,1,Yes,2,Psychologist,81,53,45,6,28,61,1
No,13,Yes,24,Writer,98,63,63,81,2,54,44
Yes,1,No,22,Entrepreneur,8,34,77,85,51,48,71
No,21,No,4,Artist,57,50,72,51,17,37,30
Yes,9,No,12,Nurse,88,87,95,19,70,25,1
Yes,24,Yes,15,Lawyer,27,60,47,73,15,9,26
Yes,17,No,19,Teacher,53,89,67,65,1,31,55
Yes,4,Yes,35,Scientist,52,5,71,86,50,95,62
No,29,No,14,Writer,77,69,4,81,34,16,2
No,12,Yes,16,Chef,36,13,91,63,96,88,67
No,26,Yes,22,Scientist,32,82,9,69,5,7,94
No,21,No,30,Scientist,18,1,16,77,90,64,68
No,11,Yes,9,Software Developer,72,42,34,20,49,42,1
Yes,21,No,40,Engineer,61,84,6,5,31,56,10
No,25,No,9,Software Developer,85,16,19,53,11,61,13
Yes,15,No,17,Architect,57,72,26,39,34,43,37
No,18,Yes,5,Nurse,13,24,26,38,10,75,29
Yes,24,No,38,Doctor,8,3,62,99,47,98,100
Yes,22,Yes,5,Scientist,92,7,51,66,12,12,94
No,12,Yes,19,Scientist,89,25,44,90,67,1,65
Yes,27,Yes,3,Nurse,66,98,85,74,19,100,10
No,22,Yes,33,Marketing Manager,68,62,74,47,55,86,44
Yes,20,Yes,38,Marketing Manager,85,16,52,54,45,41,90
No,16,Yes,16,Writer,43,61,33,91,96,89,66
Yes,6,No,18,Scientist,88,73,77,93,78,56,5
No,2,No,9,Architect,71,69,88,44,39,60,50
Yes,2,Yes,25,Marketing Manager,17,98,34,89,0,93,39
Yes,9,Yes,3,Chef,64,97,13,57,92,37,32
No,0,No,12,Teacher,20,50,77,77,76,80,89
Yes,12,Yes,7,Teacher,68,33,95,13,100,45,11
No,12,No,8,Architect,52,15,15,39,82,43,0
Yes,28,Yes,13,Architect,50,66,28,75,54,34,29
No,22,Yes,15,Chef,65,65,15,89,80,88,7
Yes,21,Yes,10,Chef,20,3,15,61,45,39,22
Yes,0,Yes,27,Entrepreneur,91,15,28,40,72,48,72
No,22,Yes,17,Chef,34,79,78,43,49,18,26
Yes,12,No,22,Entrepreneur,62,50,87,67,59,80,22
No,9,No,28,Chef,5,12,70,90,24,38,88
Yes,16,Yes,19,Doctor,85,12,84,55,66,59,4
No,7,No,40,Artist,88,59,61,97,11,34,17
Yes,13,Yes,1,Teacher,70,96,6,74,59,67,11
Yes,0,No,35,Marketing Manager,20,26,1,96,59,41,57
No,29,Yes,39,Software Developer,45,33,89,99,47,16,94
No,12,No,4,Psychologist,83,24,14,24,59,0,25
No,27,Yes,28,Athlete,56,17,48,9,74,30,94
Yes,7,Yes,8,Lawyer,8,38,75,11,23,81,37
Yes,29,No,31,Architect,27,56,33,11,51,24,80
No,26,Yes,39,Doctor,90,1,74,88,10,50,75
Yes,30,Yes,35,Athlete,85,69,51,79,27,91,99
Yes,16,No,32,Chef,91,7,22,12,11,60,93
Yes,27,No,5,Software Developer,88,80,2,18,75,43,43
No,7,No,5,Scientist,45,61,75,35,41,77,34
No,3,No,23,Chef,13,23,33,5,42,88,38
Yes,12,Yes,0,Scientist,3,53,70,99,47,93,85
No,28,Yes,1,Chef,36,8,25,35,21,4,47
Yes,23,Yes,2,Lawyer,48,6,10,44,6,94,3
Yes,15,Yes,38,Scientist,8,5,100,70,96,89,26
Yes,28,Yes,13,Doctor,80,22,75,21,52,4,29
No,7,No,16,Teacher,72,12,88,68,25,20,35
Yes,6,Yes,39,Doctor,72,15,43,4,2,55,79
No,14,No,22,Athlete,60,14,87,92,6,23,66
No,22,Yes,23,Chef,48,77,68,18,47,67,61
No,21,Yes,17,Psychologist,40,92,24,49,48,60,95
No,24,Yes,24,Engineer,85,68,8,59,88,35,92
No,12,No,35,Artist,90,36,17,92,41,44,91
No,26,No,40,Doctor,5,50,27,48,52,59,77
No,18,Yes,38,Nurse,92,60,89,50,50,20,25
No,15,Yes,0,Scientist,18,80,63,87,27,36,42
Yes,15,No,18,Engineer,6,92,57,78,30,61,4
Yes,25,Yes,22,Teacher,34,78,59,57,59,65,31
Yes,25,Yes,14,Athlete,52,20,70,59,96,30,83
Yes,9,No,23,Software Developer,39,75,38,99,31,11,69
Yes,12,No,17,Athlete,14,67,33,35,57,5,79
No,27,Yes,33,Architect,49,99,66,21,75,18,34
No,5,No,9,Engineer,5,74,37,1,56,92,47
No,23,No,40,Athlete,94,38,16,31,37,70,41
Yes,19,No,22,Nurse,43,10,68,29,93,3,62
No,13,Yes,27,Entrepreneur,32,13,63,11,40,13,48
Yes,26,No,22,Doctor,65,13,99,77,83,89,56
No,12,Yes,27,Athlete,17,13,47,87,0,66,86
No,6,No,15,Teacher,68,19,35,14,24,48,11
Yes,19,No,11,Psychologist,27,60,48,60,49,92,36
No,14,No,19,Doctor,82,2,20,70,31,60,54
Yes,11,No,32,Entrepreneur,40,19,79,50,70,28,62
No,4,Yes,20,Athlete,27,44,3,46,33,16,24
No,18,Yes,34,Architect,58,68,83,66,25,100,47
No,8,No,0,Software Developer,22,28,95,72,17,6,6
Yes,18,Yes,23,Writer,58,97,59,8,8,21,82
No,16,No,12,Athlete,26,81,58,93,56,15,77
Yes,29,No,26,Entrepreneur,8,85,86,54,89,90,83
No,23,No,28,Software Developer,59,32,78,54,6,95,98
Yes,1,No,32,Psychologist,41,88,65,42,83,19,76
No,6,No,39,Lawyer,44,20,30,96,45,38,67
No,19,No,8,Psychologist,43,18,81,35,3,43,65
Yes,10,No,28,Lawyer,9,59,66,3,94,44,89
Yes,21,Yes,21,Architect,74,29,0,83,72,48,61
Yes,17,No,3,Nurse,72,82,38,79,53,43,76
Yes,0,Yes,25,Marketing Manager,58,39,81,0,18,75,18
Yes,18,No,13,Engineer,56,7,31,72,7,15,35
No,26,No,16,Software Developer,35,0,96,32,47,23,89
No,19,No,38,Teacher,46,96,57,66,14,87,65
No,9,Yes,25,Doctor,25,82,41,12,28,72,21
Yes,15,No,36,Psychologist,10,96,19,52,71,2,63
Yes,6,Yes,35,Lawyer,12,74,60,62,7,74,3
No,22,No,38,Software Developer,2,53,64,28,66,38,65
No,27,No,32,Nurse,68,60,33,65,24,41,58
No,22,No,31,Doctor,31,83,89,24,48,94,83
Yes,5,No,37,Marketing Manager,96,24,13,85,93,13,24
No,12,Yes,38,Teacher,93,33,27,20,90,63,33
No,25,Yes,28,Lawyer,67,99,77,24,47,33,80
Yes,0,No,15,Engineer,68,27,8,31,53,19,48
Yes,26,No,24,Doctor,91,10,19,65,96,49,45
No,11,Yes,34,Entrepreneur,75,94,4,70,68,47,79
No,19,No,10,Nurse,69,45,19,15,98,1,87
Yes,11,Yes,21,Artist,64,29,78,48,9,98,76
Yes,21,Yes,8,Chef,17,84,26,43,42,56,78
No,13,No,17,Psychologist,50,30,49,39,11,88,79
No,8,Yes,39,Nurse,20,68,16,32,27,33,21
No,1,Yes,33,Architect,6,69,67,33,96,55,6
No,29,Yes,14,Scientist,41,22,77,87,71,35,22
Yes,7,No,33,Chef,42,35,67,34,88,95,17
No,30,No,7,Lawyer,11,25,89,82,20,30,1
No,7,Yes,35,Athlete,91,35,74,21,91,99,39
No,3,Yes,27,Architect,41,93,57,16,32,86,65
Yes,17,No,3,Nurse,65,72,16,37,60,79,11
Yes,21,Yes,6,Scientist,82,14,98,26,35,9,77
No,18,Yes,37,Architect,11,24,40,55,77,47,29
Yes,26,Yes,25,Architect,92,41,51,7,61,13,40
No,17,No,20,Architect,3,34,20,72,95,5,26
No,29,No,25,Entrepreneur,88,50,6,84,8,90,26
Yes,26,No,7,Writer,82,47,65,48,0,93,80
No,2,No,40,Engineer,2,45,85,70,55,81,31
Yes,17,Yes,38,Entrepreneur,43,61,42,24,71,26,76
No,22,No,9,Doctor,23,12,98,64,23,1,65
Yes,21,Yes,30,Athlete,64,2,68,22,96,90,3
No,20,No,26,Writer,4,24,79,2,92,17,2
Yes,16,Yes,27,Architect,87,43,75,15,49,12,79
No,23,No,29,Athlete,25,48,11,8,20,33,52
Yes,28,No,7,Software Developer,93,18,69,61,38,11,85
No,3,Yes,31,Teacher,19,36,91,85,30,45,99
No,26,Yes,25,Architect,31,8,84,51,1,41,98
Yes,19,Yes,30,Writer,91,27,37,39,58,46,93
Yes,27,No,3,Teacher,73,75,64,57,80,26,60
No,24,Yes,25,Writer,97,27,63,27,8,56,16
No,3,Yes,0,Doctor,53,39,2,84,45,96,32
Yes,30,Yes,40,Engineer,16,0,20,36,89,42,33
Yes,7,Yes,24,Writer,74,75,93,58,38,35,10
No,2,No,40,Architect,34,59,96,11,29,82,86
No,13,Yes,40,Chef,64,15,42,97,56,67,29
No,15,Yes,35,Marketing Manager,39,38,2,77,78,93,66
No,28,Yes,18,Athlete,82,12,100,51,66,32,85
Yes,19,No,2,Entrepreneur,42,93,90,95,68,44,6
Yes,9,Yes,14,Scientist,79,88,67,82,35,14,79
No,24,Yes,30,Athlete,34,72,66,85,63,34,68
Yes,1,Yes,11,Engineer,70,98,68,91,37,15,48
Yes,22,No,27,Architect,99,70,86,10,71,31,10
Yes,11,No,16,Artist,42,93,51,69,53,89,89
Yes,11,Yes,3,Entrepreneur,2,44,21,11,70,74,37
No,28,No,8,Engineer,70,40,16,57,93,91,22
No,9,No,35,Engineer,61,68,52,13,60,76,99
No,24,Yes,18,Teacher,100,65,35,23,61,0,38
Yes,21,No,11,Athlete,79,5,49,28,64,23,87
No,20,No,17,Marketing Manager,66,20,58,20,29,89,60
Yes,18,No,31,Teacher,13,25,30,83,92,25,34
Yes,16,No,22,Teacher,54,19,62,50,27,60,97
No,25,Yes,27,Chef,42,82,84,3,5,59,25
No,21,Yes,38,Software Developer,42,22,38,81,23,24,12
Yes,25,Yes,36,Teacher,73,91,72,61,0,86,57
Yes,9,Yes,23,Entrepreneur,81,0,60,66,85,97,10
Yes,11,No,9,Entrepreneur,44,57,50,66,89,45,2
No,23,Yes,34,Psychologist,90,43,90,31,97,68,73
Yes,5,Yes,28,Writer,48,72,2,10,81,40,76
Yes,22,Yes,22,Writer,74,64,70,97,88,66,47
Yes,18,No,37,Architect,6,80,21,83,14,52,22
No,7,Yes,21,Doctor,24,52,44,91,64,2,7
Yes,19,Yes,40,Writer,30,100,82,86,79,44,65
No,27,Yes,36,Engineer,84,34,54,100,85,61,29
No,2,Yes,38,Marketing Manager,15,35,96,89,63,3,94
No,7,Yes,9,Doctor,0,54,34,60,23,74,90
No,11,No,21,Doctor,49,19,46,98,52,13,92
Yes,0,No,32,Artist,16,47,48,65,85,46,8
